"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1918-12","1918","12","-5.6","","-18.4","","-12.0","","4.4","","-33.3","","0.0","","116.8","","116.8","","","",,"",,""
"1919-01","1919","01","-3.7","","-19.4","","-11.6","","4.4","","-29.4","","0.0","","106.7","","106.7","","","",,"",,""
"1919-02","1919","02","-7.6","","-23.4","","-15.5","","4.4","S","-38.9","","0.0","","50.8","","50.8","","","",,"",,""
"1919-03","1919","03","-2.6","","-16.2","","-9.4","","","M","","M","","M","","M","","M","","",,"",,""
"1919-04","1919","04","8.2","","","M","","M","","M","","M","11.4","","11.7","","23.1","","","",,"",,""
"1919-05","1919","05","13.3","","-2.5","","5.4","","23.9","","-10.6","","13.7","","17.5","","31.2","","","",,"",,""
"1919-06","1919","06","18.7","","-0.3","","9.2","","31.1","","-10.0","","15.7","","4.1","","19.8","","","",,"",,""
"1919-07","1919","07","22.9","","1.2","","12.1","","32.2","S","-5.6","","27.7","","0.0","","27.7","","","",,"",,""
"1919-08","1919","08","21.8","","2.2","","12.0","","27.8","S","-3.9","S","53.1","","0.0","","53.1","","","",,"",,""
"1919-09","1919","09","15.1","","-1.7","","6.7","","21.7","","-17.2","","43.7","","0.0","","43.7","","","",,"",,""
"1919-10","1919","10","3.4","","-10.5","","-3.6","","16.7","S","-24.4","","1.3","","30.7","","32.0","","","",,"",,""
"1919-11","1919","11","-3.4","","-15.7","","-9.6","","5.0","S","-36.7","","26.2","","65.0","","91.2","","","",,"",,""
"1919-12","1919","12","-8.0","","-20.2","","-14.1","","3.3","S","-46.7","","0.5","","55.4","","55.9","","","",,"",,""
"1920-01","1920","01","-7.4","","-21.2","","-14.3","","3.3","","-47.2","","0.0","","138.9","","138.9","","","",,"",,""
"1920-02","1920","02","-1.2","","-19.6","","-10.4","","3.9","","-32.2","","0.0","","16.5","","16.5","","","",,"",,""
"1920-03","1920","03","0.1","","-15.7","","-7.8","","8.9","","-36.1","","0.0","","57.7","","57.7","","","",,"",,""
"1920-04","1920","04","4.3","","-9.9","","-2.8","","11.1","","-30.0","","0.5","","42.9","","43.4","","","",,"",,""
"1920-05","1920","05","10.7","","-3.5","","3.6","","18.3","S","-8.9","","33.8","","14.2","","48.0","","","",,"",,""
"1920-06","1920","06","14.9","","-0.9","","7.0","","22.2","","-6.1","","22.6","","11.7","","34.3","","","",,"",,""
"1920-07","1920","07","24.2","","2.0","","13.1","","28.9","","-3.3","","41.1","","0.0","","41.1","","","",,"",,""
"1920-08","1920","08","22.3","","0.1","","11.2","","32.2","","-7.2","","10.4","","0.0","","10.4","","","",,"",,""
"1920-09","1920","09","13.9","","-1.6","","6.2","","25.6","","-6.1","S","60.2","","0.0","","60.2","","","",,"",,""
"1920-10","1920","10","6.8","","-5.3","","0.8","","17.8","","-20.0","","15.5","","20.1","","35.6","","","",,"",,""
"1920-11","1920","11","0.2","","-12.3","","-6.1","","8.3","","-26.7","S","0.0","","61.2","","61.2","","","",,"",,""
"1920-12","1920","12","-3.6","","-17.1","","-10.4","","2.8","S","-34.4","","0.0","","51.1","","51.1","","","",,"",,""
